Fire Name,Acres,Ignition Date,Fire Type,Fire ID
FERGUSONLK,1692,1987-05-07,Wildfire,CA3299911450519870507
BERNARDO,1524,2014-05-13,Wildfire,CA3300311713320140513
FERGUSON,2284,1989-05-28,Wildfire,CA3300711450219890528
CHARIOT,2144,1998-07-01,Prescribed Fire,CA3302711650819980701
OLD COACH,1806,1993-11-02,Wildfire,CA3304211701419931102
UNNAMED,1108,1986-06-13,Unknown,CA3305111672519860613
CHARIOT,7250,2013-07-06,Wildfire,CA3305611654820130706
PAINT,3105,1990-09-10,Wildfire,CA3305811714419900910
BANNER,5371,2012-05-24,Wildfire,CA3306611643120120524
GENERAL,1431,2013-05-26,Wildfire,CA3306911654520130526
WITCH,167551,2007-10-21,Wildfire,CA3307911676620071021
DEL DIOS,1207,1997-09-24,Wildfire,CA3308411713019970924
HARMONY,9327,1996-10-21,Wildfire,CA3309511719319961021
GREAT,2261,2011-10-01,Wildfire,CA3309811647820111001
GUEJITO,17141,1993-10-27,Wildfire,CA3312011695319931027
SAN DIEGO COMPLEX,2239,2014-05-14,Wildfire,CA3312011716020140514
FELIPE,2961,2013-05-23,Wildfire,CA3312611651920130523
STEWART,9501,2012-08-13,Wildfire,CA3312711649920120813
PINES,65407,2002-07-29,Wildfire,CA3314611657420020729
BODEN,1424,1993-05-09,Wildfire,CA3314611689619930509
WILSON,12048,2012-08-13,Wildfire,CA3317711645720120813
GRADE,2210,1987-10-04,Wildfire,CA3318111704219871004
SECOND,5351,1994-06-26,Wildfire,CA3318211683219940626
MORRETTIS,4718,1990-06-28,Wildfire,CA3319711666019900628
PARADISE,55995,2003-10-26,Wildfire,CA3320411691620031026
MATAGUAY,9087,2004-07-13,Wildfire,CA3322011664620040713
GRADE,1640,1993-06-16,Wildfire,CA3322211643919930616
RINCON,2275,1996-10-21,Wildfire,CA3325811696019961021
LA JOLLA,7231,1999-09-30,Wildfire,CA3327311679219990930
NOVEMBER,3765,2008-10-09,Wildfire,CA3327411733220081009
EAGLE,14743,2011-07-21,Wildfire,CA3327711653720110721
UNNAMED,2303,1989-07-23,Wildfire,CA3327711740119890723
PULGAS,14937,2014-05-15,Wildfire,CA3329911746620140515
POOMACHA,47496,2007-10-23,Wildfire,CA3330011692020071023
JULIET,2356,2008-10-16,Wildfire,CA3330111728820081016
WESTFORK CHAPARRAL,1449,1989-04-10,Prescribed Fire,CA3331611676519890410
UNNAMED,2714,2003-06-12,Wildfire,CA3332411665620030612
UNNAMED,1710,1998-07-16,Wildfire,CA3333311739419980716
UNNAMED,1492,2005-09-29,Wildfire,CA3333611739720050929
WARNER,2671,1995-10-13,Wildfire,CA3333911672519951013
ALISO,3264,2010-07-13,Wildfire,CA3334311736220100713
PALOMAR,10256,1987-10-03,Wildfire,CA3334511692919871003
AMMO FIRE,18365,2007-10-23,Wildfire,CA3334611747220071023
LILAC 5,4159,2017-12-07,Wildfire,CA3334911719120171207
TOMAHAWK,5417,2014-05-14,Wildfire,CA3335311728520140514
ROCKY MTN,2093,2000-04-12,Prescribed Fire,CA3335511669120000412
UNNAMED,1393,1988-06-02,Wildfire,CA3335711682319880602
ISLAND,4945,2007-05-10,Wildfire,CA3335911836420070510
HORNO,1555,2015-08-13,Wildfire,CA3336011747220150813
CHIHUAHUA 2,2120,2012-08-09,Wildfire,CA3337111674720120809
SHEEP,1342,1996-04-21,Wildfire,CA3337411651819960421
DELUZ,2358,2013-10-05,Wildfire,CA3337411729920131005
PENDLETON COMPLEX,2965,2018-07-06,Complex,CA3338011743020180706
INDIA,2135,2004-05-02,Wildfire,CA3338111731820040502
RICE,10013,2007-10-22,Wildfire,CA3338411718020071022
COYOTE,19215,2003-07-16,Wildfire,CA3338811658220030716
GRENADE,1776,2015-04-29,Wildfire,CA3338911748520150429
YELLOW,33232,2008-07-02,Wildfire,CA3339211745520080702
GAVILAN,5786,2002-02-10,Wildfire,CA3339511726820020210
ROBLAR,7453,1985-07-01,Wildfire,CA3340011734219850701
UNNAMED,1791,1989-03-17,Wildfire,CA3341011741819890317
EMPIRE,1072,2006-07-22,Wildfire,CA3341011845320060722
AGUANGA,5564,1984-05-30,Wildfire,CA3341311687319840530
UNNAMED,1062,1985-10-04,Wildfire,CA3341311738919851004
ROBLAR 2,8068,2003-10-21,Wildfire,CA3341411738220031021
ROBLAR,1222,2016-07-21,Wildfire,CA3341811736820160721
COMBAT,1310,2014-05-16,Wildfire,CA3341811755020140516
PECHANGA,11879,2000-07-29,Wildfire,CA3341911701720000729
VAIL,15632,1989-07-29,Wildfire,CA3342111694719890729
CARL,3283,2015-04-28,Wildfire,CA3342111750320150428
UNNAMED,16390,1986-05-12,Wildfire,CA3342311748319860512
UNNAMED,1914,1998-07-16,Wildfire,CA3342511745419980716
UNNAMED,1119,1996-06-08,Unknown,CA3343611754219960608
RAINBOW,2711,1992-09-27,Wildfire,CA3343911711919920927
MATEO,3085,2002-05-13,Wildfire,CA3344211748120020513
UNNAMED,2541,1986-07-31,Unknown,CA3344311742819860731
UNNAMED,2262,1988-06-02,Wildfire,CA3344611748819880602
MARGARITA,1120,1997-09-04,Wildfire,CA3344711729819970904
BAILEY,7092,1994-06-24,Wildfire,CA3344811666519940624
PECHANGA,1479,1996-06-29,Wildfire,CA3346111708119960629
DRIP,1198,1996-06-02,Wildfire,CA3347011696619960602
EAGLE,9323,2004-05-02,Wildfire,CA3348111700420040502
PLEASURE,2609,2004-04-25,Wildfire,CA3350011684320040425
MATEO,13280,1989-10-18,Wildfire,CA3350811746719891018
ORTEGA,2269,1988-08-30,Wildfire,CA3350811760519880830
MESA DE COLORADO VMP,1387,1997-06-20,Prescribed Fire,CA3351511728419970620
TRIBAL,2110,1993-10-27,Wildfire,CA3351711677119931027
PAUBA,7497,1997-08-31,Wildfire,CA3352211694319970831
STANLEY,3382,1995-07-27,Wildfire,CA3354111687619950727
BUCK,2579,2012-08-14,Wildfire,CA3355611691120120814
ORTEGA,20912,1993-10-27,Wildfire,CA3357911750119931027
DIEGO,1185,1996-07-01,Wildfire,CA3358811678419960701
LAGUNA FIRE,14587,1993-10-27,Wildfire,CA3359211779419931027
ANTONIO,1282,2002-05-13,Wildfire,CA3360011760620020513
MOUNTAIN,10630,2003-10-26,Wildfire,CA3360111698220031026
BENTON,1367,1988-09-09,Wildfire,CA3360411705719880909
MELTON,3958,2004-07-17,Wildfire,CA3360811688220040717
ANTELOPE,3238,1987-10-03,Wildfire,CA3360911722119871003
FALLS,1577,2013-08-05,Wildfire,CA3361811742120130805
UNNAMED,1587,1988-06-02,Wildfire,CA3362611673419880602
PATTERSON,1301,2018-05-17,Wildfire,CA3363011706020180517
ORTEGA,8500,1989-06-27,Wildfire,CA3363411744519890627
CALIFORNIA,23899,1993-10-26,Wildfire,CA3363611702719931026
UNNAMED,4912,1989-06-21,Wildfire,CA3363711677119890621
STAGE,2005,2003-07-04,Wildfire,CA3363811696720030704
PALM,21040,1994-07-01,Wildfire,CA3364111652219940701
VALLEY COMPLEX,1012,2010-07-17,Wildfire,CA3365811690720100717
HOLY,22845,2018-08-06,Wildfire,CA3367611751620180806
MIXING,3570,1999-08-28,Wildfire,CA3368011672119990828
CACTUS,1226,1992-05-31,Wildfire,CA3368511691219920531
FAIRVIEW,1676,1994-06-27,Wildfire,CA3369211686719940627
MOUNTAIN,28202,2013-07-15,Wildfire,CA3370511672620130715
UNNAMED,1575,1994-06-19,Wildfire,CA3370611680419940619
CRANSTON,13096,2018-07-25,Wildfire,CA3372011680020180725
SANTIAGO,27605,2007-10-21,Wildfire,CA3372011766020071021
NICHOLS,1111,1995-07-02,Wildfire,CA3372111735319950702
UNNAMED,7099,1998-09-02,Unknown,CA3372111768219980902
DOUBLE,1365,1996-08-29,Wildfire,CA3372911711819960829
EL TORRO,1063,1988-12-09,Wildfire,CA3373811736919881209
CONCORDIA,1645,1989-07-05,Wildfire,CA3374411740219890705
COTTONWOOD,2542,2009-08-27,Wildfire,CA3374611682220090827
SILVERADO,6389,1987-09-09,Wildfire,CA3374811752419870909
LOMA RIDGE,1384,1984-06-15,Wildfire,CA3375011772919840615
BEE,10113,1996-06-29,Wildfire,CA3375811682119960629
CERRITO,17876,2004-05-03,Wildfire,CA3376011738120040503
DAWSON,4655,1995-07-20,Wildfire,CA3376211742519950720
JUNIPER,6441,1998-08-31,Wildfire,CA3376911708019980831
BAKER,6320,1997-10-13,Wildfire,CA3377611768319971013
STAGECOACH,4037,1988-09-04,Wildfire,CA3378111712319880904
BEDFORD 1,1242,1986-06-04,Prescribed Fire,CA3378511752419860604
BEDFORD,4245,1990-06-24,Wildfire,CA3379611753919900624
CANYON,4427,2003-07-25,Wildfire,CA3380211688020030725
WEIRICK,2498,1998-08-31,Wildfire,CA3381411748319980831
SOBOBA,2031,2005-06-22,Wildfire,CA3381711691820050622
GILMAN,2121,1994-06-27,Wildfire,CA3382011694719940627
SIERRA,9395,2006-02-06,Wildfire,CA3382311769020060206
POPPET,1239,1989-07-14,Wildfire,CA3382811687619890714
241 FIRE,1855,2007-03-11,Wildfire,CA3382811774720070311
GREEN,2028,2002-02-09,Wildfire,CA3385211768520020209
WOLFSKILL,13015,1996-08-12,Wildfire,CA3385611694319960812
HIGHLAND,2178,2012-06-16,Wildfire,CA3385711693820120616
PINE,1901,1999-08-28,Wildfire,CA3385911680919990828
MCKINLEY,1210,2010-05-20,Wildfire,CA3385911750220100520
ESPERANZA,40566,2006-10-26,Wildfire,CA3386111687920061026
CANYON 2,9102,2017-10-09,Wildfire,CA3386511772020171009
CABANZO,14091,1985-06-27,Wildfire,CA3386711663319850627
CANYON,2740,2017-09-25,Wildfire,CA3386711768620170925
BLAISDELL,5335,2005-08-26,Wildfire,CA3386811663820050826
VERBENIA,3999,2004-07-11,Wildfire,CA3387811670420040711
PUSHWALLA,2468,2006-07-07,Wildfire,CA3387911608820060707
MANZANITA,6319,2017-06-26,Wildfire,CA3388211699020170626
HIGHWAY,1212,2015-04-19,Wildfire,CA3388411764320150419
UNNAMED,1007,2002-07-27,Wildfire,CA3388511768120020727
APACHE,3652,1995-09-25,Wildfire,CA3388811669819950925
UNNAMED,1411,1996-09-12,Unknown,CA3389011680219960912
UNNAMED,1087,1996-05-23,Wildfire,CA3389011714719960523
VERBENIA,1384,1987-06-14,Wildfire,CA3389411671019870614
CIRCLE,1039,1996-06-29,Wildfire,CA3389511692519960629
EDNA,27561,1998-10-05,Wildfire,CA3389611699519981005
WILMOT,1720,1986-05-29,Wildfire,CA3389911714619860529
BEACH,1685,1997-05-09,Wildfire,CA3389911715119970509
PASS,1871,1988-08-17,Wildfire,CA3390411683719880817
SILVER,20863,2013-08-07,Wildfire,CA3391811691120130807
FREEWAY COMPLEX,29350,2008-11-15,Wildfire,CA3391911775320081115
SHELL,1425,1985-08-11,Wildfire,CA3391911778419850811
YORBA LINDA,1242,2005-07-05,Wildfire,CA3392111776420050705
GILMAN,2161,1994-07-24,Wildfire,CA3392911707419940724
JACK RABBIT,1672,1997-09-24,Wildfire,CA3393711707119970924
GILMAN,1066,2011-08-06,Wildfire,CA3393811708020110806
EXCELSIOR,2045,1995-06-23,Wildfire,CA3394511674219950623
SUMMIT,3319,2013-05-01,Wildfire,CA3394511686920130501
RANCH,2074,2006-09-17,Wildfire,CA3395211691920060917
HWY 62,1197,1995-07-22,Wildfire,CA3395511661719950722
WOODHOUSE,6360,2005-10-05,Wildfire,CA3395611711120051005
UNNAMED,1523,1988-07-04,Unknown,CA3396111657819880704
KITCHING,1363,1996-06-30,Wildfire,CA3396111720119960630
WATKINS,1506,2001-06-23,Wildfire,CA3396111727920010623
REPPLIER,6047,1993-11-02,Wildfire,CA3396411692319931102
CARBON CANYON FIRE,4973,1990-06-27,Wildfire,CA3396711778919900627
SAN TIMOTEO,1047,2005-09-28,Wildfire,CA3397511715020050928
BOX SPRINGS,2788,1993-10-27,Wildfire,CA3397611729319931027
ORCHARD,1609,2006-09-16,Wildfire,CA3398111702120060916
PALMER,4148,2017-09-02,Wildfire,CA3398111711620170902
TAYLOR,2040,1998-10-05,Wildfire,CA3398211702219981005
LOCUST,1915,2003-08-18,Wildfire,CA3398211716420030818
BOGART,1475,2016-08-30,Wildfire,CA3398311695420160830
BLAINE,1117,2017-08-13,Wildfire,CA3398311730820170813
CHRISTY,1448,1999-06-15,Prescribed Fire,CA3398411985619990615
COLORADO 2,1403,1986-04-13,Wildfire,CA3398611448919860413
RECHE,1174,1995-07-27,Wildfire,CA3398911724519950727
COTTONWOOD,1874,2004-05-12,Wildfire,CA3399011668120040512
PASS,2456,2003-10-21,Wildfire,CA3399611725720031021
VERBENIA,21601,1995-08-04,Wildfire,CA3400111667419950804
HATHAWAY,3859,2013-06-09,Wildfire,CA3400311682420130609
PILGRIM,2214,1995-07-21,Wildfire,CA3400611721219950721
OPERA,1070,2017-04-30,Wildfire,CA3400611730620170430
BLUFF,2675,1995-10-13,Wildfire,CA3400711694619951013
JUNIPER COMPLEX (FIRE #3),13805,1999-05-27,Wildfire,CA3401011623119990527
RECHE,1859,2001-07-22,Wildfire,CA3401911723520010722
LOST LAKE,2846,1995-06-23,Wildfire,CA3402011446219950623
LOST HORSE,4130,1984-05-31,Wildfire,CA3402311625519840531
SCOTCH,1512,1997-08-14,Wildfire,CA3402711723819970814
COUNTRY,1346,1998-08-09,Wildfire,CA3402711748319980809
STALLION FIRE,1041,1998-07-27,Wildfire,CA3402811724319980727
PHILADELPHIA,1825,1996-07-20,Wildfire,CA3403211746519960720
OAK GLEN 3,2050,2009-08-30,Wildfire,CA3403511698620090830
JUNIPER COMPLEX (JUNIPER),1828,1999-06-17,Wildfire,CA3403611632719990617
PACIFIC,1073,2003-01-06,Wildfire,CA3404411887320030106
PARADISE,3461,2005-06-22,Wildfire,CA3404911655920050622
CANYON,5529,2007-10-21,Wildfire,CA3405311867820071021
CALABASAS,12239,1996-10-21,Wildfire,CA3405411871719961021
CORRAL,5485,2007-11-24,Wildfire,CA3405411874820071124
COVINGTON,5457,1995-07-31,Wildfire,CA3405711630019950731
PIUMA FIRE,5280,1985-10-14,Wildfire,CA3406011868219851014
MILL CREEK,4475,1993-10-27,Wildfire,CA3406211707319931027
OLD TOPANGA FIRE,16780,1993-11-02,Wildfire,CA3407011864919931102
WHISPERING PINES,1425,2006-07-22,Wildfire,CA3407111634020060722
DECKER,6709,1985-10-14,Wildfire,CA3407111891719851014
PACIFIC,3178,1989-10-29,Wildfire,CA3407511899419891029
EMERALD,2106,2006-08-29,Wildfire,CA3409211705720060829
VALLEY,1250,2018-07-06,Wildfire,CA3409611695820180706
MILLARD,86585,2006-07-09,Wildfire,CA3411411662020060709
GREEN MEADOWS,38115,1993-10-26,Wildfire,CA3411411897719931026
THURMAN,1076,2005-10-05,Wildfire,CA3411611700820051005
SHERWOOD FIRE,3897,1985-06-30,Wildfire,CA3411711885719850630
GRIFFITH PARK,1147,2007-05-08,Wildfire,CA3413411831120070508
FISH,4528,2016-06-20,Wildfire,CA3414411793320160620
LAKE,30421,2015-06-17,Wildfire,CA3415811689620150617
COLBY,2022,2014-01-16,Wildfire,CA3415911784320140116
ETIWANDA,1877,2014-04-30,Wildfire,CA3416511754320140430
RESERVOIR,1268,2016-06-20,Wildfire,CA3416811790020160620
HEMLOCK,1113,2001-06-14,Wildfire,CA3417011706520010614
HEMLOCK,4097,1997-07-05,Wildfire,CA3417011721119970705
PADUA,10577,2003-10-25,Wildfire,CA3417311768920031025
BRIDGE,1181,2003-09-05,Wildfire,CA3417611717320030905
PIONEER,2004,2005-06-19,Wildfire,CA3417711650220050619
GRAND PRIX,50799,2003-10-21,Wildfire,CA3418611747320031021
TEXAS,7372,1988-09-28,Wildfire,CA3418811749019880928
CALABASAS,1068,2000-06-12,Wildfire,CA3419011868620000612
MILL,1369,1997-09-13,Wildfire,CA3419311714019970913
WILLIAMS,37505,2002-09-22,Wildfire,CA3419511777720020922
CANYON 2,5176,1997-07-01,Wildfire,CA3419511790819970701
SHEPHERDS FLAT,1160,1999-01-14,Prescribed Fire,CA3419511873719990114
ARROWHEAD,2621,2002-05-31,Wildfire,CA3419611724120020531
RESERVOIR,1532,1996-08-24,Wildfire,CA3419611787919960824
KINNELOA,5538,1993-10-27,Wildfire,CA3419611809019931027
MORRIS,2591,2009-08-25,Wildfire,CA3419711786020090825
SPRINGS,24042,2013-05-02,Wildfire,CA3420011896420130502
HARVARD,1027,2005-09-29,Wildfire,CA3421511829520050929
TOPANGA,24133,2005-09-28,Wildfire,CA3421811869620050928
SLIDE,12869,2007-10-22,Wildfire,CA3423111709520071022
WILLIAMS,4146,2012-09-02,Wildfire,CA3423811772220120902
BRIDGE,6845,1999-08-29,Wildfire,CA3423911786619990829
WOOLSEY,97962,2018-11-08,Wildfire,CA3424011870020181108
HILL,4427,2018-11-08,Wildfire,CA3424011893020181108
OLD,90180,2003-10-25,Wildfire,CA3424711728420031025
BOX CANYON (PIONEER) FIRE,1247,1985-10-14,Wildfire,CA3424911865419851014
PEACH HILL,1992,1985-10-14,Wildfire,CA3425211892819851014
CHATSWORTH FIRE,1952,1993-10-27,Wildfire,CA3425711863219931027
BLUE CUT,36856,2016-08-16,Wildfire,CA3425911746120160816
TECALOTE,4085,1986-07-20,Wildfire,CA3426011789019860720
CABIN,1523,2015-08-14,Wildfire,CA3426511785520150814
GRASS VALLEY,1463,2007-10-22,Wildfire,CA3426711722820071022
TRUCK,1084,1987-05-31,Wildfire,CA3427111744319870531
BICHOTA COMPLEX (BICHOTA),1154,1996-06-29,Wildfire,CA3427411782419960629
HUMMINGBIRD,2425,1985-10-14,Wildfire,CA3428411864819851014
LYTLE,2442,1984-05-28,Wildfire,CA3428511755419840528
PILOT,8267,2016-08-07,Wildfire,CA3428811725120160807
KEUHNER FIRE,3907,1988-09-04,Wildfire,CA3428811864819880904
BUTLER 2,14777,2007-09-14,Wildfire,CA3428911699320070914
LOUISIANA,6650,2002-06-26,Wildfire,CA3429011747320020626
HOLCOMB,1513,2017-06-19,Wildfire,CA3429311680920170619
LA TUNA,7035,2017-09-01,Wildfire,CA3429511836120170901
HALL-BARLOW CONTROLL,2150,1988-05-26,Prescribed Fire,CA3429911924119880526
UNNAMED,1043,1994-08-14,Wildfire,CA3430511718019940814
CURVE,20565,2002-09-01,Wildfire,CA3430611781520020901
SESNON,15235,2008-10-13,Wildfire,CA3430711860420081013
SCHOOL,4089,2005-11-18,Wildfire,CA3430711926420051118
FIRST BURN UNIT,1162,2006-05-05,Prescribed Fire,CA3430811755220060505
MAREK,4941,2008-10-12,Wildfire,CA3430911838220081012
SHEEP,7451,2009-10-03,Wildfire,CA3431011754120091003
SESNON FIRE,2508,1988-12-09,Wildfire,CA3431111853219881209
BLUECUT,7199,2002-06-16,Wildfire,CA3431211744420020616
BRADLEY,3256,1999-12-04,Wildfire,CA3431211904219991204
BRADLEY,10100,1986-11-10,Wildfire,CA3431211905819861110
SOLIMAR,1083,2015-12-26,Wildfire,CA3431411935320151226
STOCKTON,1505,1991-08-21,Wildfire,CA3431611760419910821
PEPPERTREE CONTROLLE,1242,1987-11-11,Wildfire,CA3431911917319871111
PINNACLES,2651,2006-09-19,Wildfire,CA3432311720020060919
SHEKELL,10295,2006-12-03,Wildfire,CA3432311888020061203
JEEP,1527,1987-08-23,Wildfire,CA3432611717719870823
STATION,165368,2009-08-26,Wildfire,CA3432711813620090826
CROWDER,1320,1995-07-26,Wildfire,CA3432911747119950726
NARROWS,18248,1997-08-13,Wildfire,CA3433111771019970813
GRIMES FIRE,10917,1984-05-07,Wildfire,CA3433111896419840507
CREEK,15833,2017-12-05,Wildfire,CA3433411833820171205
SIMI,107756,2003-10-25,Wildfire,CA3433511879220031025
ELLIOT,2305,1999-07-06,Wildfire,CA3433611741319990706
DEVILS,12778,1994-07-03,Wildfire,CA3433711710219940703
SAYRE,11227,2008-11-14,Wildfire,CA3433911846220081114
NORTH,4366,2015-07-17,Wildfire,CA3434011747720150717
WILLOW,63525,1999-08-28,Wildfire,CA3434511710619990828
GUIBERSON,19356,2009-09-22,Wildfire,CA3435111888220090922
DIVIDE,3969,1988-10-16,Wildfire,CA3435411839219881016
HILL,1337,2011-09-02,Wildfire,CA3435511743420110902
RUNWAY,1415,2004-09-07,Wildfire,CA3435511749720040907
LOS FLORES,4834,2007-03-31,Wildfire,CA3436111726920070331
SAGE,1002,2016-07-09,Wildfire,CA3436911855620160709
CROWN COMPLEX (FOOTHILL),6464,2004-07-17,Wildfire,CA3437011847020040717
TURTLE,3787,1999-07-25,Wildfire,CA3437511753019990725
SALT/TAPO BURN,4188,1986-10-30,Prescribed Fire,CA3437711869019861030
STECKEL,26202,1993-10-27,Wildfire,CA3438211915319931027
SCOUT,3488,1994-06-25,Wildfire,CA3439011764219940625
VALENCIA BURN,2864,1986-08-27,Prescribed Fire,CA3439611859519860827
ADAMS CANYON PHASE 1,1233,2003-09-03,Prescribed Fire,CA3440311910020030903
PACY,1403,1989-07-30,Wildfire,CA3440411844019890730
MAGIC,2678,2007-10-22,Wildfire,CA3440411862220071022
FERNDALE,46724,1985-10-14,Wildfire,CA3441311914919851014
NORTH,2437,2007-09-02,Wildfire,CA3441611825020070902
PIRU,10413,1998-10-18,Wildfire,CA3442211887219981018
VERDALE,8483,2003-10-24,Wildfire,CA3442611871620031024
GRAND,10479,1996-04-28,Wildfire,CA3442611898019960428
THOMAS,281982,2017-12-04,Wildfire,CA3442911910020171205
BLACK MOUNTAIN,1250,1985-07-03,Wildfire,CA3443011922019850703
SAND,41561,2016-07-22,Wildfire,CA3443111839820160722
PIRU,14273,1988-09-03,Wildfire,CA3443711869619880903
FREEWAY FIRE NO II,1200,1995-10-05,Wildfire,CA3444211838019951005
SQUAW FLAT,6049,1984-10-15,Wildfire,CA3444311889619841015
SCUDDER BURN,1035,1984-06-22,Prescribed Fire,CA3444911848019840622
MESCAL,1479,1984-07-06,Wildfire,CA3445211772619840706
RYE,4895,2017-12-05,Wildfire,CA3445311858120171205
CROWN COMPLEX (CROWN),12492,2004-07-20,Wildfire,CA3445411811320040720
TEA,1927,2008-11-13,Wildfire,CA3445411967620081113
RANCH,4011,1999-12-21,Wildfire,CA3445711915319991221
OASIS,1199,2002-09-14,Wildfire,CA3445911827720020914
SHOOTING,4094,1994-06-25,Wildfire,CA3446011804519940625
HOLSER,2528,1999-07-17,Wildfire,CA3446111872819990717
PAINT,4762,1990-06-27,Wildfire,CA3446911978419900627
JESUSITA,8569,2009-05-05,Wildfire,CA3447411972520090505
HOPPER,24072,1997-08-05,Wildfire,CA3447611881619970805
PIRU,63920,2003-10-23,Wildfire,CA3448011886120031023
GAP,9368,2008-07-01,Wildfire,CA3448511986620080701
GAVIOTA,7624,2004-06-05,Wildfire,CA3448712019620040605
CHARLIE,3367,2018-09-22,Wildfire,CA3449011860020180922
STABLES,6726,2001-10-12,Wildfire,CA3449311849520011012
SLOAN,1788,2001-08-27,Wildfire,CA3450211865020010827
WHEELER 2,126854,1985-07-01,Wildfire,CA3451011935419850701
WHEEL,1459,1993-10-27,Wildfire,CA3451411930419931027
BUCKWEED,41332,2007-10-21,Wildfire,CA3451511844620071021
RANCH,37009,2007-10-20,Wildfire,CA3451611872720071020
SHERPA,7549,2016-06-15,Wildfire,CA3453012005420160615
BOUQUET,4644,2002-05-11,Wildfire,CA3453911843620020511
UNNAMED,2620,1985-05-23,Wildfire,CA3454011961519850523
TOVEY,1184,2005-07-05,Wildfire,CA3454111816120050705
JALAMA,3558,1998-10-06,Prescribed Fire,CA3454212045819981006
WHITE,2033,2013-05-27,Wildfire,CA3454311980320130527
DEVIL,1319,1992-07-20,Wildfire,CA3454511867119920720
REY,33323,2016-08-18,Wildfire,CA3454611980520160818
SUDDEN RANCH,7840,2002-06-15,Wildfire,CA3455012052820020615
SHANNON FIRE,3554,1984-05-29,Wildfire,CA3455211818319840529
SHANNON,3554,1999-08-29,Wildfire,CA3455211818619990829
UNNAMED,1465,1986-03-27,Unknown,CA3455611830319860327
COPPER,19048,2002-06-05,Wildfire,CA3455811848220020605
